id,city,slug,ig_location_id,fb_place_id
1,"Arlington Heights",arlington-heights,236036315,100850748722762
2,Barrington,barrington,234998044,380264578722491
3,"Barrington Hills",barrington-hills,245086624,157238265217378
4,"Buffalo Grove",buffalo-grove,249312894,265659253545493
5,Chicago,chicago,1201607243333275,1201607243333275
6,Countryside,countryside,269555890,158802227657910
7,"Deer Park",deer-park,266351723,180753308631584
8,Deerfield,deerfield,242215748,109169739102136
10,"Des Plaines",des-plaines,220456869,105779291148482
11,Elgin,elgin,532918525,471842936167882
12,"Elk Grove Village",elk-grove-village,226568709,122639044460580
13,"Elmwood Park",elmwood-park,6146140,140731275967846
14,Evanston,evanston,105597026140500,482992485232747
15,"Forest Lake",forest-lake,295950592,136319563077006
16,"Forest Park",forest-park,213416520,1509293609097390
17,"Forest View",forest-view,272320937,254122201946698
18,"Fort Hill",fort-hill,106866939344991,105614669495997
19,"Fox Lake",fox-lake,245162498,139201972783968
20,"Fox Lake Hills",fox-lake-hills,332914511,
22,"Fox River Grove",fox-river-grove,259521809,226591600796072
23,Glencoe,glencoe,236624174,107795791030226
24,Glenview,glenview,223432669,108954702458594
25,Grayslake,grayslake,53961773,372991642766197
26,"Great Lakes",great-lakes,353158308,218373758178603
27,"Green Oaks",green-oaks,222094430,225475194177155
28,Gurnee,gurnee,237101852,256185594475356
29,"Harwood Heights",harwood-heights,11156286,138545559552753
30,"Hawthorn Woods",hawthorn-woods,234610072,313341399525750
31,"Highland Park",highland-park,234461757,1482391151974065
32,"Hoffman Estates",hoffman-estates,235729482,311456698937833
33,Hometown,hometown,18818378,101801964738848
34,Homewood,homewood,237648125,135083086525254
35,"Indian Creek",indian-creek,282791018,298839670460357
36,Inverness,inverness,258083281,187327737977278
37,Kenilworth,kenilworth,243818568,274875045876866
38,Kildeer,kildeer,254340157,
39,"Lake Barrington",lake-barrington,222663345,105885724753283
40,"Lake Bluff",lake-bluff,245286642,
41,"Lake Forest",lake-forest,217242748,159005247497847
42,"Lake Villa",lake-villa,255963036,108004072554035
43,"Lake Zurich",lake-zurich,239304820,439287180240598
44,Libertyville,libertyville,237420391,105436226156787
45,Lincolnshire,lincolnshire,236463332,106469399387318
46,Lincolnwood,lincolnwood,242456681,107720942590315
47,Lindenhurst,lindenhurst,278156066,110932685624200
48,"Long Grove",long-grove,255256004,157074354665123
49,"Long Lake",long-lake,276038340,139140276123909
50,"Melrose Park",melrose-park,229301664,150308994980204
51,"Morton Grove",morton-grove,221211497,611367732312086
52,"Mount Prospect",mount-prospect,222202699,292271164157531
53,Mundelein,mundelein,255114256,109651022387533
54,Niles,niles,259700439,107638035933044
55,Norridge,norridge,237197345,142811885866839
56,"North Barrington",north-barrington,261981366,
57,Northbrook,northbrook,217810562,104103889627272
58,Northfield,northfield,256318852,111309414674620
59,Northlake,northlake,242599226,755382411232046
60,"Oak Forest",oak-forest,243392447,199647617153235
61,"Oak Lawn",oak-lawn,222888499,102335805251096
62,"Oak Park",oak-park,234516173,353147361487042
63,"Orland Hills",orland-hills,248693280,
64,"Orland Park",orland-park,238483842,389679527756815
65,Palatine,palatine,213918465,114816941955876
66,"Palos Park",palos-park,237356516,
67,"Park Forest",park-forest,16821425,
68,"Park Ridge",park-ridge,226737014,448683491834809
69,"Port Barrington",port-barrington,112809158734108,112809158734108
70,"Prospect Heights",prospect-heights,258222132,370734003040424
71,"River Forest",river-forest,1195330,108019422552324
72,"River Grove",river-grove,241500064,
73,Riverdale,riverdale,264211360,372937283195815
74,Riverside,riverside,239653531,518228814863161
75,Riverwoods,riverwoods,240596455,
76,"Rolling Meadows",rolling-meadows,255489755,406759369725231
77,Rosemont,rosemont,215066966,1403700779855053
78,"Round Lake",round-lake,247194787,1227086387393351
79,Schaumburg,schaumburg,213424823,293262360772008
80,"Schiller Park",schiller-park,230213673,248019268638552
81,Skokie,skokie,228769818,278381796724
82,"South Barrington",south-barrington,280897726,392341900878653
83,Streamwood,streamwood,224075946,155973784494927
84,"Vernon Hills",vernon-hills,237710541,123458617708011
85,"Western Springs",western-springs,7309274,173910439416298
86,Wheeling,wheeling,254212470,110772335293376
87,"Willow Springs",willow-springs,243000775,2145934355734528
88,Wilmette,wilmette,227414769,101193043360783
89,Winnetka,winnetka,234867871,
